"[Program ID]","[Dynpro No.]","[Total Lines]","[Process Lines]","[Comment Lines]","[Percentage]","[Title]",
"YB010300","0000","   21","    8","   13","62 %","",
"[Totle]"," ","   21","    8","   13","62 %"," ",


"[Program ID]","[Dynpro No.]","[Total Lines]","[Process Lines]","[Comment Lines]","[Percentage]","[Title]",
"YB010610","0000","   95","   73","   22","23 %","",
"[Totle]"," ","   95","   73","   22","23 %"," ",


"[Program ID]","[Dynpro No.]","[Total Lines]","[Process Lines]","[Comment Lines]","[Percentage]","[Title]",
"YB010620","0000","   73","   52","   21","29 %","",
"[Totle]"," ","   73","   52","   21","29 %"," ",


"[Program ID]","[Dynpro No.]","[Total Lines]","[Process Lines]","[Comment Lines]","[Percentage]","[Title]",
"YB020400","0000","   51","   24","   27","53 %","",
"[Totle]"," ","   51","   24","   27","53 %"," ",


"[Program ID]","[Dynpro No.]","[Total Lines]","[Process Lines]","[Comment Lines]","[Percentage]","[Title]",
"YB020600","0000","1,590","  931","  659","41 %","The common variant update",
"[Totle]"," ","1,590","  931","  659","41 %"," ",


"[Program ID]","[Dynpro No.]","[Total Lines]","[Process Lines]","[Comment Lines]","[Percentage]","[Title]",
"YB020600_BK20100728","0000","    1","    1","    0"," 0 %","",
"[Totle]"," ","    1","    1","    0"," 0 %"," ",


"[Program ID]","[Dynpro No.]","[Total Lines]","[Process Lines]","[Comment Lines]","[Percentage]","[Title]",
"YB020600_BK20110721","0000","    1","    1","    0"," 0 %","",
"[Totle]"," ","    1","    1","    0"," 0 %"," ",


"[Program ID]","[Dynpro No.]","[Total Lines]","[Process Lines]","[Comment Lines]","[Percentage]","[Title]",
"YB020600_TEST","0000","1,544","  931","  613","40 %","The common variant update",
"[Totle]"," ","1,544","  931","  613","40 %"," ",


"[Program ID]","[Dynpro No.]","[Total Lines]","[Process Lines]","[Comment Lines]","[Percentage]","[Title]",
"YB020700","0000","  672","  374","  298","44 %","",
"[Totle]"," ","  672","  374","  298","44 %"," ",


"[Program ID]","[Dynpro No.]","[Total Lines]","[Process Lines]","[Comment Lines]","[Percentage]","[Title]",
"YB020800","0000","  147","   65","   82","56 %","",
"[Totle]"," ","  147","   65","   82","56 %"," ",


"[Program ID]","[Dynpro No.]","[Total Lines]","[Process Lines]","[Comment Lines]","[Percentage]","[Title]",
"YB030101","0000","   74","   36","   38","51 %","",
"[Totle]"," ","   74","   36","   38","51 %"," ",


"[Program ID]","[Dynpro No.]","[Total Lines]","[Process Lines]","[Comment Lines]","[Percentage]","[Title]",
"YB030300","0000","   81","   61","   20","25 %","",
"[Totle]"," ","   81","   61","   20","25 %"," ",


"[Program ID]","[Dynpro No.]","[Total Lines]","[Process Lines]","[Comment Lines]","[Percentage]","[Title]",
"YEGMMR9010_TEST","0000","   21","    9","   12","57 %","",
"[Totle]"," ","   21","    9","   12","57 %"," ",


"[Program ID]","[Dynpro No.]","[Total Lines]","[Process Lines]","[Comment Lines]","[Percentage]","[Title]",
"YEGSDR2020","0000","3,654","2,462","1,192","33 %","Approve Sales Data",
"YEGSDR2020","9000","   16","   10","    6","38 %","Approve Sales Data(Detail)",
"[Totle]"," ","3,670","2,472","1,198","33 %"," ",


"[Program ID]","[Dynpro No.]","[Total Lines]","[Process Lines]","[Comment Lines]","[Percentage]","[Title]",
"YEGSDR2020_1","0000","  352","  205","  147","42 %","Approve Sales Data",
"YEGSDR2020_1","9000","   13","    6","    7","54 %","Approve Sales Data(Detail)",
"[Totle]"," ","  365","  211","  154","42 %"," ",


"[Program ID]","[Dynpro No.]","[Total Lines]","[Process Lines]","[Comment Lines]","[Percentage]","[Title]",
"YEGSDR2040_F01","0000","    0","    0","    0"," 0 %","",
"[Totle]"," ","    0","    0","    0"," 0 %"," ",


"[Program ID]","[Dynpro No.]","[Total Lines]","[Process Lines]","[Comment Lines]","[Percentage]","[Title]",
"YEGSDR2050","0000","2,929","2,028","  901","31 %","CrossCompanyTransactionReport",
"[Totle]"," ","2,929","2,028","  901","31 %"," ",


"[Program ID]","[Dynpro No.]","[Total Lines]","[Process Lines]","[Comment Lines]","[Percentage]","[Title]",
"YEGSDR9010_COPY","0000","2,670","1,855","  815","31 %","SalesOrderUpload",
"[Totle]"," ","2,670","1,855","  815","31 %"," ",


"[Program ID]","[Dynpro No.]","[Total Lines]","[Process Lines]","[Comment Lines]","[Percentage]","[Title]",
"YF000100","0000","  646","  357","  289","45 %","",
"YF01CCUT","0000","  103","   20","   83","81 %","",
"YF01NUMC","0000","  204","  137","   67","33 %","",
"[Totle]"," ","  953","  514","  439","46 %"," ",


"[Program ID]","[Dynpro No.]","[Total Lines]","[Process Lines]","[Comment Lines]","[Percentage]","[Title]",
"YF000110","0000","  466","  232","  234","50 %","",
"YF01CCUT","0000","  103","   20","   83","81 %","",
"YF01NUMC","0000","  204","  137","   67","33 %","",
"[Totle]"," ","  773","  389","  384","50 %"," ",


"[Program ID]","[Dynpro No.]","[Total Lines]","[Process Lines]","[Comment Lines]","[Percentage]","[Title]",
"YF000120","0000","  853","  425","  428","50 %","",
"YF01CCUT","0000","  103","   20","   83","81 %","",
"YF01NUMC","0000","  204","  137","   67","33 %","",
"[Totle]"," ","1,160","  582","  578","50 %"," ",


"[Program ID]","[Dynpro No.]","[Total Lines]","[Process Lines]","[Comment Lines]","[Percentage]","[Title]",
"YF000200","0000","  635","  495","  140","22 %","",
"RFDBRMAC","0000","  190","  154","   36","19 %","Include for logical databases",
"YF01NUMC","0000","  204","  137","   67","33 %","",
"[Totle]"," ","1,029","  786","  243","24 %"," ",


"[Program ID]","[Dynpro No.]","[Total Lines]","[Process Lines]","[Comment Lines]","[Percentage]","[Title]",
"YF000300","0000","  741","  528","  213","29 %","",
"RFDBRMAC","0000","  190","  154","   36","19 %","Include for logical databases",
"YF01NUMC","0000","  204","  137","   67","33 %","",
"YF01RANK","0000","   41","   27","   14","34 %","",
"YF01SKAN","0000","  101","   92","    9"," 9 %","",
"[Totle]"," ","1,277","  938","  339","27 %"," ",


"[Program ID]","[Dynpro No.]","[Total Lines]","[Process Lines]","[Comment Lines]","[Percentage]","[Title]",
"YF000400","0000","  556","  363","  193","35 %","",
"RFDBRMAC","0000","  190","  154","   36","19 %","Include for logical databases",
"YF01NUMC","0000","  204","  137","   67","33 %","",
"YF01RANK","0000","   41","   27","   14","34 %","",
"YF01SKAN","0000","  101","   92","    9"," 9 %","",
"[Totle]"," ","1,092","  773","  319","29 %"," ",


"[Program ID]","[Dynpro No.]","[Total Lines]","[Process Lines]","[Comment Lines]","[Percentage]","[Title]",
"YF000500","0000","  434","  286","  148","34 %","",
"RFDBRMAC","0000","  190","  154","   36","19 %","Include for logical databases",
"YF01NUMC","0000","  204","  137","   67","33 %","",
"YF01RANK","0000","   41","   27","   14","34 %","",
"YF01SKAN","0000","  101","   92","    9"," 9 %","",
"[Totle]"," ","  970","  696","  274","28 %"," ",


"[Program ID]","[Dynpro No.]","[Total Lines]","[Process Lines]","[Comment Lines]","[Percentage]","[Title]",
"YF000600","0000","  422","  283","  139","33 %","",
"RFDBRMAC","0000","  190","  154","   36","19 %","Include for logical databases",
"YF01NUMC","0000","  204","  137","   67","33 %","",
"YF01RANK","0000","   41","   27","   14","34 %","",
"YF01SKAN","0000","  101","   92","    9"," 9 %","",
"[Totle]"," ","  958","  693","  265","28 %"," ",


"[Program ID]","[Dynpro No.]","[Total Lines]","[Process Lines]","[Comment Lines]","[Percentage]","[Title]",
"YF000700","0000","  749","  532","  217","29 %","",
"RFDBRMAC","0000","  190","  154","   36","19 %","Include for logical databases",
"YF01NUMC","0000","  204","  137","   67","33 %","",
"YF01RNK2","0000","   46","   31","   15","33 %","",
"YF01SGET","0000","   44","   35","    9","20 %","",
"[Totle]"," ","1,233","  889","  344","28 %"," ",


"[Program ID]","[Dynpro No.]","[Total Lines]","[Process Lines]","[Comment Lines]","[Percentage]","[Title]",
"YF000800","0000","  604","  414","  190","31 %","",
"RFDBRMAC","0000","  190","  154","   36","19 %","Include for logical databases",
"YF01NUMC","0000","  204","  137","   67","33 %","",
"YF01RNK2","0000","   46","   31","   15","33 %","",
"YF01SGET","0000","   44","   35","    9","20 %","",
"[Totle]"," ","1,088","  771","  317","29 %"," ",
